,caption,prob
83,a group of people standing around a table with a large umbrella.,"[4.9971658e-09 2.4234645e-05 9.9783009e-01 ... 1.9466000e-08 2.5837050e-08
 1.7162670e-08]"
84,a stop sign with a stop sign on it.,"[8.3631733e-09 3.2408585e-05 9.9700838e-01 ... 3.8132143e-08 4.6283741e-08
 3.1502989e-08]"
85,a group of people standing on a sidewalk with a red umbrella.,"[6.4171193e-09 3.1273768e-05 9.9750584e-01 ... 2.6208488e-08 3.2594354e-08
 2.1904278e-08]"
86,a man in a suit and tie is sitting on a couch.,"[3.9546566e-09 3.7524511e-05 9.9807858e-01 ... 1.6264128e-08 1.6751146e-08
 1.2581087e-08]"
87,a large white and white photo of a large building.,"[6.4417924e-09 3.6332218e-05 9.9725085e-01 ... 2.6212385e-08 2.6332904e-08
 2.1716660e-08]"
88,a man is holding a tennis racket on a court.,"[6.1267409e-09 3.8377995e-05 9.9742424e-01 ... 2.6529827e-08 3.6131212e-08
 2.2564324e-08]"
89,a man is holding a tennis racket on a court.,"[6.1267409e-09 3.8377995e-05 9.9742424e-01 ... 2.6529827e-08 3.6131212e-08
 2.2564324e-08]"
90,a man is standing on a beach with a surfboard.,"[4.45172565e-09 2.25730328e-05 9.97387230e-01 ... 1.88510967e-08
 1.92833820e-08 1.46399195e-08]"
91,a man is standing on a beach with a surfboard.,"[4.45172565e-09 2.25730328e-05 9.97387230e-01 ... 1.88510967e-08
 1.92833820e-08 1.46399195e-08]"
92,a man riding a surfboard on a wave.,"[4.9867523e-09 3.1767879e-05 9.9741781e-01 ... 2.1747034e-08 2.2483841e-08
 1.6593761e-08]"
93,a man is holding a tennis racket on a court.,"[5.9257852e-09 3.8856473e-05 9.9749494e-01 ... 2.5576492e-08 3.4876667e-08
 2.1529063e-08]"
94,a white fire hydrant sitting on a sidewalk.,"[5.6363056e-09 3.2725227e-05 9.9757928e-01 ... 2.3394877e-08 2.7650367e-08
 1.9253758e-08]"
95,a white fire hydrant sitting on a sidewalk.,"[5.6363056e-09 3.2725227e-05 9.9757928e-01 ... 2.3394877e-08 2.7650367e-08
 1.9253758e-08]"
96,a white fire hydrant sitting on a sidewalk.,"[5.6363056e-09 3.2725227e-05 9.9757928e-01 ... 2.3394877e-08 2.7650367e-08
 1.9253758e-08]"
97,a white fire hydrant sitting on a sidewalk.,"[5.6363056e-09 3.2725227e-05 9.9757928e-01 ... 2.3394877e-08 2.7650367e-08
 1.9253758e-08]"
98,a person is flying a kite on a beach.,"[4.1002668e-09 2.5879801e-05 9.9770445e-01 ... 1.6733534e-08 1.7603080e-08
 1.3335335e-08]"
99,a person is flying a kite on a beach.,"[4.1002668e-09 2.5879801e-05 9.9770445e-01 ... 1.6733534e-08 1.7603080e-08
 1.3335335e-08]"
100,a group of people walking down a street with a clock.,"[4.9800812e-09 2.4262881e-05 9.9764073e-01 ... 2.0272211e-08 2.3342563e-08
 1.6464412e-08]"
101,a group of people walking down a street with a clock.,"[4.9800812e-09 2.4262881e-05 9.9764073e-01 ... 2.0272211e-08 2.3342563e-08
 1.6464412e-08]"
102,a man in a suit and tie is holding a cell phone.,"[3.4332972e-09 3.3403368e-05 9.9827099e-01 ... 1.3090399e-08 1.6106380e-08
 1.0653731e-08]"
103,a man in a suit and tie is holding a cell phone.,"[3.4332972e-09 3.3403368e-05 9.9827099e-01 ... 1.3090399e-08 1.6106380e-08
 1.0653731e-08]"
104,a man in a suit and tie is standing in front of a building.,"[3.02850878e-09 3.60001213e-05 9.98293221e-01 ... 1.17419185e-08
 1.23696209e-08 9.38382083e-09]"
105,a large clock tower with a clock on it.,"[4.9744542e-09 2.2848069e-05 9.9764496e-01 ... 2.0840863e-08 2.4410186e-08
 1.7486549e-08]"
106,a large clock tower with a clock on it.,"[4.9744542e-09 2.2848069e-05 9.9764496e-01 ... 2.0840863e-08 2.4410186e-08
 1.7486549e-08]"
107,a large clock tower with a clock on it.,"[4.9744542e-09 2.2848069e-05 9.9764496e-01 ... 2.0840863e-08 2.4410186e-08
 1.7486549e-08]"
108,a man is holding a tennis racket in a hand.,"[6.0225611e-09 4.4773726e-05 9.9746096e-01 ... 2.5879665e-08 3.3963847e-08
 2.0888551e-08]"
109,a man is holding a tennis racket in a hand.,"[6.0225611e-09 4.4773726e-05 9.9746096e-01 ... 2.5879665e-08 3.3963847e-08
 2.0888551e-08]"
110,a man in a suit and tie is standing in a room.,"[4.8871738e-09 3.9393784e-05 9.9797493e-01 ... 1.8712633e-08 2.5248507e-08
 1.6405936e-08]"
111,a man in a suit and tie is standing in a room.,"[4.8871738e-09 3.9393784e-05 9.9797493e-01 ... 1.8712633e-08 2.5248507e-08
 1.6405936e-08]"
112,a man in a suit and tie is holding a cell phone.,"[3.0578791e-09 3.4347235e-05 9.9835229e-01 ... 1.1833990e-08 1.3849276e-08
 9.4968433e-09]"
113,a man in a suit and tie is holding a cell phone.,"[3.0578791e-09 3.4347235e-05 9.9835229e-01 ... 1.1833990e-08 1.3849276e-08
 9.4968433e-09]"
114,a man in a suit and tie is holding a cell phone.,"[3.0578791e-09 3.4347235e-05 9.9835229e-01 ... 1.1833990e-08 1.3849276e-08
 9.4968433e-09]"
115,a man in a suit and tie is holding a cell phone.,"[3.0578791e-09 3.4347235e-05 9.9835229e-01 ... 1.1833990e-08 1.3849276e-08
 9.4968433e-09]"
116,a man is riding a motorcycle on a street.,"[5.3547295e-09 3.6558427e-05 9.9767822e-01 ... 2.1690605e-08 2.5582558e-08
 1.7646283e-08]"
117,a man is riding a motorcycle on a street.,"[5.3547295e-09 3.6558427e-05 9.9767822e-01 ... 2.1690605e-08 2.5582558e-08
 1.7646283e-08]"
118,a man is standing in a field with a dog.,"[5.6353979e-09 3.1400796e-05 9.9751759e-01 ... 2.3768896e-08 2.9401207e-08
 1.9305041e-08]"
119,a man is sitting on a bench in a park.,"[6.5462582e-09 4.5654120e-05 9.9742031e-01 ... 2.6107758e-08 3.4361491e-08
 2.1901482e-08]"
120,a man is sitting on a bench in a park.,"[6.5462582e-09 4.5654120e-05 9.9742031e-01 ... 2.6107758e-08 3.4361491e-08
 2.1901482e-08]"
121,a man holding a banana in a hand.,"[5.3942517e-09 3.0807187e-05 9.9773043e-01 ... 2.6278116e-08 2.9365669e-08
 2.0125164e-08]"
122,a group of people standing on a beach with a surfboard.,"[4.3930601e-09 1.9223515e-05 9.9751842e-01 ... 1.9147883e-08 1.9556774e-08
 1.4837626e-08]"
123,a group of people standing on a beach with a surfboard.,"[4.3930601e-09 1.9223515e-05 9.9751842e-01 ... 1.9147883e-08 1.9556774e-08
 1.4837626e-08]"
124,a man riding a horse in a field.,"[5.5930007e-09 3.1203574e-05 9.9752456e-01 ... 2.4867418e-08 2.7795847e-08
 1.9871729e-08]"
125,a man riding a horse in a field.,"[5.5930007e-09 3.1203574e-05 9.9752456e-01 ... 2.4867418e-08 2.7795847e-08
 1.9871729e-08]"
126,a man riding a horse in a field.,"[5.5930007e-09 3.1203574e-05 9.9752456e-01 ... 2.4867418e-08 2.7795847e-08
 1.9871729e-08]"
127,a man is holding a tennis racket on a court.,"[6.1872938e-09 3.9700477e-05 9.9747050e-01 ... 2.6145003e-08 3.5531063e-08
 2.2242194e-08]"
128,a man is holding a tennis racket on a court.,"[6.1872938e-09 3.9700477e-05 9.9747050e-01 ... 2.6145003e-08 3.5531063e-08
 2.2242194e-08]"
129,a man is flying a kite in the ocean.,"[4.45167858e-09 2.78450407e-05 9.97485161e-01 ... 1.84281301e-08
 1.91895815e-08 1.43604675e-08]"
130,a man is riding a skateboard on a ramp.,"[7.8270617e-09 3.9641345e-05 9.9718237e-01 ... 3.3358457e-08 4.3373156e-08
 2.8364411e-08]"
131,a man is riding a skateboard on a ramp.,"[7.8270617e-09 3.9641345e-05 9.9718237e-01 ... 3.3358457e-08 4.3373156e-08
 2.8364411e-08]"
132,a person riding a skateboard on a wave.,"[4.9541846e-09 3.3697921e-05 9.9747437e-01 ... 2.0061368e-08 2.1855012e-08
 1.6083707e-08]"
133,a man holding a cell phone on a cell phone.,"[5.2618088e-09 4.0336381e-05 9.9771082e-01 ... 2.2795913e-08 2.8537942e-08
 1.8199428e-08]"
134,a close up of a banana on a plate.,"[4.4730735e-09 3.0327012e-05 9.9786144e-01 ... 2.5423896e-08 2.0886498e-08
 1.6783220e-08]"
135,a man riding a skateboard down a street.,"[7.0021988e-09 4.0550865e-05 9.9730361e-01 ... 2.8600878e-08 3.4918362e-08
 2.3763752e-08]"
136,a man riding a skateboard down a street.,"[7.0021988e-09 4.0550865e-05 9.9730361e-01 ... 2.8600878e-08 3.4918362e-08
 2.3763752e-08]"
137,a man riding a skateboard down a street.,"[7.0021988e-09 4.0550865e-05 9.9730361e-01 ... 2.8600878e-08 3.4918362e-08
 2.3763752e-08]"
138,a giraffe standing in a field with a tree.,"[3.9421333e-09 2.0420319e-05 9.9778003e-01 ... 1.6496324e-08 1.7537182e-08
 1.3237761e-08]"
139,a giraffe standing in a field with a tree.,"[3.9421333e-09 2.0420319e-05 9.9778003e-01 ... 1.6496324e-08 1.7537182e-08
 1.3237761e-08]"
140,a white toilet with a white toilet and a toilet.,"[4.1007002e-09 2.2893115e-05 9.9792778e-01 ... 1.7855454e-08 1.8059968e-08
 1.4198920e-08]"
141,a white toilet with a white toilet and a toilet.,"[4.1007002e-09 2.2893115e-05 9.9792778e-01 ... 1.7855454e-08 1.8059968e-08
 1.4198920e-08]"
142,a white toilet with a white toilet and a toilet.,"[4.1007002e-09 2.2893115e-05 9.9792778e-01 ... 1.7855454e-08 1.8059968e-08
 1.4198920e-08]"
143,a man is holding a tennis racket in a hand.,"[5.9848255e-09 4.0369621e-05 9.9745268e-01 ... 2.5375313e-08 3.4303930e-08
 2.1482048e-08]"
144,a man is holding a tennis racket in a hand.,"[5.9848255e-09 4.0369621e-05 9.9745268e-01 ... 2.5375313e-08 3.4303930e-08
 2.1482048e-08]"
145,a man is holding a tennis racket in a hand.,"[5.9848255e-09 4.0369621e-05 9.9745268e-01 ... 2.5375313e-08 3.4303930e-08
 2.1482048e-08]"
146,a man is holding a tennis racket on a court.,"[6.3328081e-09 3.8986145e-05 9.9741828e-01 ... 2.7067989e-08 3.7367755e-08
 2.2986111e-08]"
147,a man is holding a tennis racket on a court.,"[6.3328081e-09 3.8986145e-05 9.9741828e-01 ... 2.7067989e-08 3.7367755e-08
 2.2986111e-08]"
148,a man is holding a tennis racket on a court.,"[6.3328081e-09 3.8986145e-05 9.9741828e-01 ... 2.7067989e-08 3.7367755e-08
 2.2986111e-08]"
149,a man is holding a tennis racket on a court.,"[6.3328081e-09 3.8986145e-05 9.9741828e-01 ... 2.7067989e-08 3.7367755e-08
 2.2986111e-08]"
150,a man in a suit and tie is standing on a sidewalk.,"[5.6396932e-09 3.9017730e-05 9.9780768e-01 ... 2.2503313e-08 2.8986072e-08
 1.8908171e-08]"
151,a bunch of bananas are on a tree.,"[5.4639480e-09 2.5529909e-05 9.9783260e-01 ... 2.5565393e-08 2.7382187e-08
 2.0110877e-08]"
152,a man riding a skateboard down a street.,"[6.2243775e-09 3.2530334e-05 9.9739623e-01 ... 2.7168666e-08 2.9532680e-08
 2.1631683e-08]"
153,a man riding a skateboard down a street.,"[6.2243775e-09 3.2530334e-05 9.9739623e-01 ... 2.7168666e-08 2.9532680e-08
 2.1631683e-08]"
154,a man in a suit and tie is sitting on a bench.,"[5.1217555e-09 3.9500417e-05 9.9788779e-01 ... 2.0720671e-08 2.5659384e-08
 1.6880877e-08]"
155,a man in a suit and tie is sitting on a bench.,"[5.1217555e-09 3.9500417e-05 9.9788779e-01 ... 2.0720671e-08 2.5659384e-08
 1.6880877e-08]"
156,a man in a suit and tie is standing on a tennis court.,"[5.0786144e-09 4.4861896e-05 9.9764639e-01 ... 2.0742345e-08 2.8749490e-08
 1.7451388e-08]"
157,a man in a suit and tie is standing on a tennis court.,"[5.0786144e-09 4.4861896e-05 9.9764639e-01 ... 2.0742345e-08 2.8749490e-08
 1.7451388e-08]"
158,a man in a suit and tie is standing on a tennis court.,"[5.0786144e-09 4.4861896e-05 9.9764639e-01 ... 2.0742345e-08 2.8749490e-08
 1.7451388e-08]"
159,a man in a suit and tie is standing on a tennis court.,"[5.0786144e-09 4.4861896e-05 9.9764639e-01 ... 2.0742345e-08 2.8749490e-08
 1.7451388e-08]"
160,a cat is sitting on a wooden bench.,"[4.8786881e-09 2.7239299e-05 9.9793279e-01 ... 2.1830301e-08 2.4540629e-08
 1.7549205e-08]"
161,a cat is sitting on a wooden bench.,"[4.8786881e-09 2.7239299e-05 9.9793279e-01 ... 2.1830301e-08 2.4540629e-08
 1.7549205e-08]"
162,a cat is sitting on a wooden bench.,"[4.8786881e-09 2.7239299e-05 9.9793279e-01 ... 2.1830301e-08 2.4540629e-08
 1.7549205e-08]"
163,a cat is sitting on a wooden bench.,"[4.8786881e-09 2.7239299e-05 9.9793279e-01 ... 2.1830301e-08 2.4540629e-08
 1.7549205e-08]"
164,a man holding a cell phone while holding a cell phone.,"[4.1889656e-09 3.3736869e-05 9.9801219e-01 ... 1.7638325e-08 2.0946228e-08
 1.4121900e-08]"
165,a white bird sitting on a wooden bench.,"[4.9954187e-09 2.9876326e-05 9.9785990e-01 ... 2.2092463e-08 2.5370619e-08
 1.7788365e-08]"
166,a man in a suit and tie is standing in a room.,"[3.54348173e-09 2.62307112e-05 9.98329222e-01 ... 1.44591219e-08
 1.46898458e-08 1.12709815e-08]"
167,a man in a suit and tie is standing in a room.,"[3.54348173e-09 2.62307112e-05 9.98329222e-01 ... 1.44591219e-08
 1.46898458e-08 1.12709815e-08]"
168,a man in a suit and tie is standing in a room.,"[3.54348173e-09 2.62307112e-05 9.98329222e-01 ... 1.44591219e-08
 1.46898458e-08 1.12709815e-08]"
169,a man riding a skateboard down a street.,"[7.3521451e-09 3.7067974e-05 9.9718839e-01 ... 3.2241488e-08 3.8095404e-08
 2.6177471e-08]"
170,a man riding a skateboard down a street.,"[7.3521451e-09 3.7067974e-05 9.9718839e-01 ... 3.2241488e-08 3.8095404e-08
 2.6177471e-08]"
171,a group of elephants standing in a field with a large tree.,"[3.4589962e-09 1.5340716e-05 9.9778324e-01 ... 1.4516549e-08 1.5167783e-08
 1.1258954e-08]"
172,a group of elephants standing in a field with a large tree.,"[3.4589962e-09 1.5340716e-05 9.9778324e-01 ... 1.4516549e-08 1.5167783e-08
 1.1258954e-08]"
173,a group of elephants standing in a field with a large tree.,"[3.4589962e-09 1.5340716e-05 9.9778324e-01 ... 1.4516549e-08 1.5167783e-08
 1.1258954e-08]"
