,ID,Target_url,Target_text,Image_url,label
10,Rtr10,https://www.reuters.com/,"Medics treat injured people inside a field hospital after what activists said were air and missile strikes in the Douma neighborhood of Damascus, Syria December 13, 2015 Douma in Syria, an area controlled by rebels fighting to topple President Bashar al-Assad, has been shelled continuously for the past three years The injured are taken to basements and shelters transformed into field hospitals run by medical staff who have stayed in the battered neighborhood of Damascus",https://s1.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230490&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000269309_RTRMADP_0_MIDEAST-CRISIS-SYRIA,REAL
11,Rtr11,https://www.reuters.com/,"Rio Pardo, next to Bom Futuro National Forest, during a tropical storm in the district of Porto Velho, Rondonia State, Brazil, August 30, 2015 The town of Rio Pardo, a settlement of about 4,000 people in the Amazon rainforest, rises where only jungle stood less than a quarter of a century ago Loggers first cleared the forest followed by ranchers and farmers, then small merchants and prospectors Brazil's government has stated a goal of eliminating illegal deforestation, but enforcing the law in remote corners like Rio Pardo is far from easy",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230501&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000046430_RTRMADP_0_CLIMATECHANGE-SUMMIT-EARTHPRINTS-BRAZIL,REAL
12,Rtr12,https://www.reuters.com/,"French fire brigade members aid an injured individual near the Bataclan concert hall following fatal shootings in Paris, France",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230505&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000058437_RTRMADP_0_FRANCE-SHOOTING,REAL
13,Rtr13,https://www.reuters.com/,"Sangita Magar, 16, cries as she lies down on a bed at a hospital while undergoing treatment after an unidentified person attacked her with a bottle of acid in Kathmandu, Nepal, February 22, 2015 Sangita and her friend Sima Basnet were attacked by the stranger while they were sitting inside their coaching class early morning, according to Sangita",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230513&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GM1EB2M1Q0201_RTRMADP_0_NEPAL-CRIME,REAL
14,Rtr14,https://www.reuters.com/,"A rescue worker touches the face of a horse as they try to save it at Bento Rodrigues district, which was covered with mud after a dam owned by Vale SA and BHP Billiton Ltd burst in Mariana, Brazil",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230503&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000048888_RTRMADP_0_VALE-SA-BHP-BILLITON-DAM,REAL
15,Rtr15,https://www.reuters.com/,"A migrant woman carries her child after arriving at a rocky beach on the Greek island of Lesbos after crossing a part of the Aegean Sea from the Turkish coast to Lesbos October 11, 2015",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230485&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000240997_RTRMADP_0_EUROPE-MIGRANTS-GREECE,REAL
16,Rtr16,https://www.reuters.com/,"A man holds a giant pencil as he takes part in a Hundreds of thousands of French citizens solidarity march (Marche Republicaine) in the streets of Paris January 11, 2015",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230518&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_LR2EB1B1CYBBH_RTRMADP_0_FRANCE-SHOOTING,REAL
17,Rtr17,https://www.reuters.com/,"Migrants, who were found at sea on a boat, collect rainwater during a heavy rain fall at a temporary refuge camp near Kanyin Chaung jetty, outside Maungdaw township, northern Rakhine state, Myanmar June 4, 2015",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230458&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000116975_RTRMADP_0_ASIA-MIGRANTS,REAL
18,Rtr18,https://www.reuters.com/,"A staff member removes the Iranian flag from the stage after a group picture with foreign ministers and representatives of Unites States, Iran, China, Russia, Britain, Germany, France and the European Union during the Iran nuclear talks at the Vienna International Center in Vienna, Austria July 14, 2015 Iran and six major world powers reached a nuclear deal, capping more than a decade of on-off negotiations with an agreement that could potentially transform the Middle East, and which Israel called an ""historic surrender""",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230467&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000158897_RTRMADP_0_IRAN-NUCLEAR,REAL
19,Rtr19,https://www.reuters.com/,"Tony Lyerly and his granddaughter Maraih Lyerly, 3, wait with others to buy ""Go Set A Watchman"" at Ol' Curiosities & Book Shoppe in Monroeville, Alabama July 13, 2015 In the southern hometown of author Harper Lee, a freight truck unloaded the first of 7,000 copies of ""Go Set a Watchman"" at a small bookshop just ahead of midnight, minutes before the release of Lee's first published novel in 55 years",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230466&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000158581_RTRMADP_0_BOOKS-HARPERLEE-HOMETOWN,REAL
20,Rtr20,https://www.reuters.com/,"A Guarani Indian woman jokes with her son in the village of Pyau at Jaragua district, in Sao Paulo, Brazil, April 27, 2015 The National Indian Foundation (FUNAI) has recognized 521 hectares of this area as indigenous territory, making it the smallest indigenous reserve in Brazil Members of the Guarani community have now established a new village outside the demarcation and are being threatened with an eviction through a court order",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230453&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000079201_RTRMADP_0_BRAZIL-ODDLY,REAL
21,Rtr21,https://www.reuters.com/,"A woman kisses a suspected gang member as he is arrested during an anti-gang search operation in San Salvador June 21, 2015 The Salvadoran Police and Army participated in a search operation in response of a deadly attack where two soldiers were killed by gang members, local media reported",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230461&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000135401_RTRMADP_0_EL-SALVADOR-CRIME,REAL
22,Rtr23,https://www.reuters.com/,"Tang Thi Thang baths her disabled son Doan Van Quy outside their family home in Truc Ly, in Vietnam's Quang Binh Province April 11, 2015 Doan Van Quy's father, a soldier who served on 127 mm anti-aircraft guns during the Vietnam war, said he lived in several areas that were contaminated by Agent Orange Two of his sons were born with serious health problems and the family and local health officials link their illnesses to their father's exposure to Agent Orange",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230442&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000066616_RTRMADP_0_VIETNAM-WAR-AGENTORANGE,REAL
23,Rtr24,https://www.reuters.com/,"A resident rides his bicycle near what activists said was an exploded cluster bomb shell in the town of Douma, eastern Ghouta in Damascus November 5, 2015",https://s1.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230502&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000047196_RTRMADP_0_MIDEAST-CRISIS-SYRIA,REAL
24,Rtr26,https://www.reuters.com/,"The body of a woman killed by recent shelling lies on a street in the residential sector in the town of Kramatorsk, eastern Ukraine February 10, 2015 Three people were killed and 15 wounded in the rocket strike on the town of Kramatorsk, the government-controlled regional administration said in a statement",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230529&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_RTR4OZTF_RTRMADP_0_UKRAINE-CRISIS-KRAMATORSK-TOLL,REAL
25,Rtr27,https://www.reuters.com/,"A Syrian refugee girl stands behind a door at a makeshift settlement in the village of Ketermaya, south of Beirut, Lebanon",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230510&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GM1EB181N0Z01_RTRMADP_0_MIDEAST-CRISIS-SYRIA-WEATHER,REAL
26,Rtr29,https://www.reuters.com/,"Actress Emma Stone (L) compares her Lego Oscar statuette with actress Julianne Moore's genuine Oscar for best leading actress for her role in ""Still Alice"" at the Governors Ball following the 87th Academy Awards in Hollywood, California February 22, 2015",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230531&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_TB3EB2N0I3DEG_RTRMADP_0_AWARDS-OSCARS,REAL
27,Rtr30,https://www.reuters.com/,"An Israeli policeman searches a supermarket inside the Central Jerusalem Bus Station after police said a woman was stabbed by a Palestinian outside the bus station October 14, 2015 A Palestinian stabbed and moderately wounded a 70-year-old woman outside Jerusalem's central bus station, at the entrance to the city, before an officer shot him dead, a police spokeswoman said",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230486&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000245088_RTRMADP_0_ISRAEL-PALESTINIANS,REAL
28,Rtr31,https://www.reuters.com/,"Hungarian policemen stand by the family of migrants as they wanted to run away at the railway station in the town of Bicske, Hungary",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230523&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_LR2EB930VQY5A_RTRMADP_0_EUROPE-MIGRANTS-HUNGARY,REAL
29,Rtr32,https://www.reuters.com/,"Girls who survived what activists said was a ground-to-ground missile attack by forces of Syria's President Bashar al-Assad, hold hands at Aleppo's Bab al-Hadeed district April 7, 2015",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230436&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000051644_RTRMADP_0_SYRIA-CRISIS,REAL
30,Rtr33,https://www.reuters.com/,"Medical student Electo Rossel, 20, wearing a shirt with a picture of US President Barack Obama, listens to music at the Malecon seafront outside the US embassy (not pictured) in Havana, Cuba",https://s1.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230474&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000174403_RTRMADP_0_CUBA-USA,REAL
31,Rtr34,https://www.reuters.com/,"A policeman holds a water bottle with a yellow-crested cockatoo put inside for illegal trade, at the customs office of Tanjung Perak port in Surabaya, East Java province, Indonesia, May 4, 2015 in this picture taken by Antara Foto Police arrested one man traveling by ship from Makassar, Sulawesi with 22 of the endangered cockatoos held inside water bottles",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230451&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000084402_RTRMADP_0_INDONESIA-ANIMALS,REAL
32,Rtr35,https://www.reuters.com/,"People disarm an Orthodox Jewish assailant shortly after he stabbed participants at the annual Gay Pride parade in Jerusalem July 30, 2015 The man stabbed and wounded six participants during the march, police said",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230492&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000009091_RTRMADP_0_ISRAEL-GAY,REAL
33,Rtr36,https://www.reuters.com/,A Syrian refugee holding a baby in a lifetube swims towards the shore after their dinghy deflated some 100m away before reaching the Greek island of Lesbos,https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230484&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000216649_RTRMADP_0_EUROPE-MIGRANTS-GREECE,REAL
34,Rtr37,https://www.reuters.com/,"British comedian known as Lee Nelson (unseen) throws banknotes at FIFA President Sepp Blatter as he arrives for a news conference after the Extraordinary FIFA Executive Committee Meeting at the FIFA headquarters in Zurich, Switzerland July 20, 2015 World football's troubled governing body FIFA will vote for a new president, to replace Sepp Blatter, at a special congress to be held on February 26 in Zurich, the organisation said",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230522&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_LR2EB7K13EWMD_RTRMADP_0_SOCCER-FIFA-ELECTION,REAL
35,Rtr38,https://www.reuters.com/,"People wearing period clothing dance in St James's Park on the final day of the 70th anniversary Victory in Europe (VE) day commemorations in central London May 10, 2015 Picture taken through a mesh fence",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230447&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000090387_RTRMADP_0_WW2-ANNIVERSARY-BRITAIN,REAL
36,Rtr40,https://www.reuters.com/,"The dead body of Jomar Aguayo is seated at a table with domino tiles and with a condom placed in one of his hands in San Juan, Puerto Rico, October 19, 2015 Aguayo's family decided, with the help of a funeral home that specializes in embalming techniques, to have him sit at a table at his mother's bar for the wake Aguayo was 23 years old when he was shot dead during a shootout, according to local media",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230489&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000251244_RTRMADP_0_PUERTORICO-ODDLY,REAL
37,Rtr42,https://www.reuters.com/,"A protester jumps on the table in front of the European Central Bank President Mario Draghi during a news conference in Frankfurt, Germany",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230520&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_LR2EB4F10MURZ_RTRMADP_0_ECB-POLICY-DISPRUPTION,REAL
38,Rtr43,https://www.reuters.com/,"An Afghan boy plays on a merry-go-round on a hill top in Kabul July 20, 2015",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230472&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000164956_RTRMADP_0_AFGHANISTAN-DAILYLIFE,REAL
39,Rtr44,https://www.reuters.com/,"Law enforcement officers stand, with some turning their backs, as New York City Mayor Bill de Blasio speaks on a monitor outside the funeral for NYPD officer Wenjian Liu in the Brooklyn borough of New York January 4, 2015 Tens of thousands of law enforcement officers from across the country gathered for the funeral of the second of two New York City policemen killed in an ambush that galvanized critics of Mayor de Blasio",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230508&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GM1EB15024G01_RTRMADP_0_USA-POLICE,REAL
40,Rtr45,https://www.reuters.com/,"Syrian men form a safety passage for women following clashes during a registration procedure in the national stadium of the Greek island of Kos August 11, 2015",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230495&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000019851_RTRMADP_0_EUROPE-MIGRANTS-GREECE,REAL
41,Rtr46,https://www.reuters.com/,"A flashlight illuminates a judicial worker as he shines a torch into an area of the tunnel connected to the Altiplano Federal Penitentiary and used by drug lord Joaquin 'El Chapo' Guzman to escape, in Almoloya de Juarez, on the outskirts of Mexico City",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230468&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000159405_RTRMADP_0_MEXICO-GUZMAN,REAL
42,Rtr48,https://www.reuters.com/,"Norbanu, a 60-year-old Rohingya, speaks with her daughter's boyfriend, who is now in Indonesia, from an internet hut in Thae Chaung village, home to thousands of displaced Rohingya Muslims near Sittwe, the capital of Rakhine State in western Myanmar February 14, 2015 He has broken his promise to send for her, Norbanu tells him, so she will now marry off her daughter to another man Operators of the huts charge customers 10 cents a minute to talk to relatives who have left Rakhine State by boat to seek work overseas In a camp for displaced Rohingya Muslims, residents frequent bamboo ""internet huts"" where they can communicate with relatives who left the country, escaping the violence that led to 200 deaths and left over 140,000 homeless in 2012 Some arrive safely, while others are held hostage for ransom by human traffickers at jungle camps in Thailand or Malaysia",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230514&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GM1EB2P16CV01_RTRMADP_0_MYANMAR-ROHINGYA-WIDERIMAGE,REAL
43,Rtr49,https://www.reuters.com/,"Malana Pinckney, daughter of Reverand Clementa Pinckney, is hugged by her mother Jennifer at the start of her father's funeral at the Emanuel African Methodist Episcopal Church in Charleston, South Carolina June 26, 2015",https://s1.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230462&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000140288_RTRMADP_0_USA-SHOOTING-SOUTHCAROLINA,REAL
44,Rtr50,https://www.reuters.com/,"The mother of 21-month-old Majed Ayyash prepares him to be weighed in a malnutrition intensive care unit in Sanaa, Yemen July 30, 2015 Damaged by a lack of skilled medical care at a critical moment, many infants struggle for life in a hospital in the bomb-damaged capital Sanaa When Yemen's devastating war began in March, between the country's Houthi movement and an exiled government backed by Gulf Arab states, hundreds of foreign, mostly Asian, medical staff members, were evacuated to their countries, leaving their jobs in Yemeni hospitals",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230493&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000010084_RTRMADP_0_YEMEN-SECURITY-WIDERIMAGE,REAL
45,Rtr51,https://www.reuters.com/,"Protesters attack a female police officer accused of shooting a protestor in the Buterere neighbourhood of Bujumbura, Burundi, May 12, 2015 Protestors opposed to the president's decision to run for a third term chased, beat and stoned the woman, who was later handed back to police",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230446&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000091868_RTRMADP_0_BURUNDI-POLITICS,REAL
46,Rtr52,https://www.reuters.com/,"A migrant carrying a child falls after tripping on TV camerawoman (R) Petra Laszlo while trying to escape from a collection point in Roszke village, Hungary, September 8, 2015 Laszlo, a camerawoman for a private television channel in Hungary, was fired after videos of her kicking and tripping up migrants fleeing police, including a man carrying a child, spread in the media and on the internet",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230481&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000198006_RTRMADP_0_EUROPE-MIGRANTS-HUNGARY-CAMERAWOMAN,REAL
47,Rtr53,https://www.reuters.com/,"A body of a victim lies trapped in the debris after an earthquake hit, in Kathmandu, Nepal April 25, 2015",https://s3.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230455&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000072238_RTRMADP_0_QUAKE-NEPAL,REAL
48,Rtr54,https://www.reuters.com/,"Cyclists hang on to the back of a truck outside the capital Bujumbura, July 19, 2015, as the country awaits next week's presidential elections Each day scores of cyclists make the 45 kilometer (27 miles) downhill journey at breakneck speed from Bugarama to sell bananas, often hanging from the back of trucks for the return uphill trip",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230471&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000164189_RTRMADP_0_BURUNDI-POLITICS,REAL
49,Rtr56,https://www.reuters.com/,"Cats crowd the harbor on Aoshima Island in the Ehime prefecture in southern Japan February 25, 2015 An army of cats rules the remote island in southern Japan, curling up in abandoned houses or strutting about in a fishing village that is overrun with felines outnumbering humans six to one",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230515&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GM1EB331IF701_RTRMADP_0_JAPAN-CATS,REAL
50,Rtr57,https://www.reuters.com/,A woman drinks wine in a hot bath with coloured water representing wine at the Hakone Kowaki-en Yunessun spa resort during an event marking Beaujolais Nouveau Day in Hakone west of Tokyo,https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230506&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF20000065362_RTRMADP_0_JAPAN-ODDLY,REAL
51,Rtr58,https://www.reuters.com/,"A participant rests while people take part in the Mermaid Parade at Coney Island, in Brooklyn, New York, June 20, 2015 The annual parade, founded in 1983, seeks to bring mythology to life for residents, create confidence in the district and to allow artistic self-expression in public, according to the parade's website",https://s2.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230460&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000134514_RTRMADP_0_USA-MERMAIDPARADE,REAL
52,Rtr59,https://www.reuters.com/,"An aerial view of flower fields is seen near the Keukenhof park, also known as the Garden of Europe, in Lisse, The Netherlands April 15, 2015 Keukenhof, employing some 30 gardeners, is considered to be the world's largest flower garden displaying millions of flowers every year",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230441&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000059877_RTRMADP_0_NETHERLANDS-ENVIRONMENT,REAL
53,Rtr60,https://www.reuters.com/,"German Chancellor Angela Merkel speaks with US President Barack Obama outside the Elmau castle in Kruen near Garmisch-Partenkirchen, Germany",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230517&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_LR1EB680VJHJQ_RTRMADP_0_G7-SUMMIT,REAL
54,Rtr61,https://www.reuters.com/,"Photographer Carlos Barria holds a print of a photograph he took in 2005, as he matches it up at the same location 10 years on, in New Orleans, United States, August 17, 2015 The print shows Joshua Creek sitting on the porch of his house, September 13, 2005, after Hurricane Katrina struck In 2005, Hurricane Katrina triggered floods that inundated New Orleans and killed more than 1,500 people as storm waters overwhelmed levees and broke through floodwalls Congress authorised spending more than $14 billion to beef up the city's flood protection after Katrina and built a series of new barriers that include manmade islands and new wetlands After photographing events a decade ago, Reuters photographer Carlos Barria returned to New Orleans Using photos he took 10 years ago, Barria found the same locations that he documented originally and used the photos he took in 2005 to show the contrast of inundation then and a city now still affected by the disaster",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230477&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_GF10000178403_RTRMADP_0_USA-KATRINA-ANNIVERSARY,REAL
55,Rtr62,https://www.reuters.com/,"People dressed as Storm troopers stand at a bar as they pose for a photograph holding cans of beer at the 'For The Love of The Force' Star Wars fan convention in Manchester, northern England",https://s4.reutersmedia.net/resources/r/?m=02&d=20160101&t=2&i=1106230526&w=780&fh=&fw=&ll=&pl=&sq=&r=2016-01-01T053014Z_20588_LR2EBC40WX05F_RTRMADP_0_BRITAIN-ENTERTAINMENT,REAL
